Prior,t,n,0,1,2
Needle In Haystack High,198,2,1,1,1
Needle In Haystack High,199,2,1,1,0
Needle In Haystack High,200,2,1,0,1
Needle In Haystack High,201,2,1,1,0
Needle In Haystack High,202,2,0,1,0
Needle In Haystack High,203,2,1,1,0
Needle In Haystack High,204,2,1,1,1
Needle In Haystack High,205,2,0,1,0
Needle In Haystack High,206,2,1,1,1
Needle In Haystack High,207,2,1,1,0
Needle In Haystack High,208,2,0,1,1
Needle In Haystack High,209,2,1,0,1
Needle In Haystack High,210,2,0,1,0
Needle In Haystack High,211,2,1,1,0
Needle In Haystack High,212,2,1,1,0
Needle In Haystack High,213,2,0,1,0
Needle In Haystack High,214,2,0,1,1
Needle In Haystack High,215,2,1,0,1
Needle In Haystack High,216,2,1,0,1
Needle In Haystack High,217,2,0,0,0
Needle In Haystack High,218,2,1,0,0
Needle In Haystack High,219,2,0,1,1
Needle In Haystack High,220,2,1,1,1
Needle In Haystack High,221,2,0,1,0
Needle In Haystack High,222,2,1,0,1
Needle In Haystack High,223,2,0,1,0
Needle In Haystack High,224,2,0,0,0
Needle In Haystack High,225,2,0,0,1
Needle In Haystack High,226,2,0,1,0
Needle In Haystack High,227,2,0,1,0
Needle In Haystack High,228,2,1,1,0
Needle In Haystack High,229,2,0,0,0
Needle In Haystack High,230,2,1,1,0
Needle In Haystack High,231,2,0,1,0
Needle In Haystack High,232,2,1,1,1
Needle In Haystack High,233,2,1,1,1
Needle In Haystack High,234,2,0,1,0
Needle In Haystack High,235,2,1,0,0
Needle In Haystack High,236,2,0,1,1
Needle In Haystack High,237,2,0,1,1
Needle In Haystack High,238,2,0,1,0
Needle In Haystack High,239,2,0,1,1
Needle In Haystack High,240,2,1,0,0
Needle In Haystack High,241,2,1,0,1
Needle In Haystack High,242,2,1,1,1
Needle In Haystack High,243,2,0,0,1
Needle In Haystack High,244,2,0,1,0
Needle In Haystack High,245,2,0,0,0
Needle In Haystack High,246,2,0,1,1
Needle In Haystack High,247,2,1,0,1
Needle In Haystack High,248,2,1,0,1
Needle In Haystack High,249,2,0,1,0
